==================================================================
  EXPERIMENT CONFIGURATIONS  (12 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    

  Per-experiment parameters:
  Label             Solver                    weight_makespan  weight_delay  weight_movements  alpha  weight_topology  n_starts  seed
  -----------------------------------------------------------------------------------------------------------------------------------
  milp_baseline     MILPSolver                0.1              1             10                —      —                —         —   
  topology_ms6      TopologyHeuristic         0.1              1             10                0.3    1                6         1   
  fas_on_topo       FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  safe_pipeline     FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  milp_baseline_wB  MILPSolver                1                10            0.1               —      —                —         —   
  topology_ms6_wB   TopologyHeuristic         1                10            0.1               0.3    1                6         1   
  fas_on_topo_wB    FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  safe_pipeline_wB  FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  milp_baseline_wC  MILPSolver                10               0.1           1                 —      —                —         —   
  topology_ms6_wC   TopologyHeuristic         10               0.1           1                 0.3    1                6         1   
  fas_on_topo_wC    FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
  safe_pipeline_wC  FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  144 ok  /  0 failed  /  144 total
==================================================================
  Instance                          Experiment        Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  --------------------------------------------------------------------------------------------------------------------------
  scn_chain_tight_P5_R10_seed5      milp_baseline     maxTimeLim      222.10      86.00     193.50     2    98.15%      73.9
  scn_chain_tight_P5_R10_seed5      topology_ms6      topology (      159.60      71.00     132.50     2         -      60.0
  scn_chain_tight_P5_R10_seed5      fas_on_topo       optimal         159.60      71.00     132.50     2     0.00%       0.2
  scn_chain_tight_P5_R10_seed5      safe_pipeline     topology (      159.60      71.00     132.50     2         -       0.0
  scn_chain_tight_P5_R10_seed5      milp_baseline_wB  maxTimeLim     1261.00      69.00     119.00    20    96.75%      72.1
  scn_chain_tight_P5_R10_seed5      topology_ms6_wB   topology (      915.30      58.50      85.50    18         -      60.0
  scn_chain_tight_P5_R10_seed5      fas_on_topo_wB    optimal         915.30      58.50      85.50    18     0.00%       0.1
  scn_chain_tight_P5_R10_seed5      safe_pipeline_wB  topology (      915.30      58.50      85.50    18         -       0.0
  scn_chain_tight_P5_R10_seed5      milp_baseline_wC  maxTimeLim      601.20      57.50     122.00    14    31.80%      68.2
  scn_chain_tight_P5_R10_seed5      topology_ms6_wC   topology (      579.75      55.50      87.50    16         -      60.0
  scn_chain_tight_P5_R10_seed5      fas_on_topo_wC    optimal         576.35      55.50      93.50    12     0.00%       0.1
  scn_chain_tight_P5_R10_seed5      safe_pipeline_wC  optimal         576.35      55.50      93.50    12         -       0.0
  scn_full_tight_P5_R10_seed5       milp_baseline     maxTimeLim      276.25     102.50     266.00     0    98.52%      69.1
  scn_full_tight_P5_R10_seed5       topology_ms6      topology (      176.05      85.50     167.50     0         -      60.0
  scn_full_tight_P5_R10_seed5       fas_on_topo       optimal         172.05      85.50     163.50     0     0.00%       0.3
  scn_full_tight_P5_R10_seed5       safe_pipeline     optimal         172.05      85.50     163.50     0         -       0.0
  scn_full_tight_P5_R10_seed5       milp_baseline_wB  maxTimeLim     1133.90      58.50     107.00    54    96.38%      67.7
  scn_full_tight_P5_R10_seed5       topology_ms6_wB   topology (      918.30      58.50      85.50    48         -      60.0
  scn_full_tight_P5_R10_seed5       fas_on_topo_wB    optimal         918.30      58.50      85.50    48     0.00%       0.1
  scn_full_tight_P5_R10_seed5       safe_pipeline_wB  topology (      918.30      58.50      85.50    48         -       0.0
