==================================================================
  EXPERIMENT CONFIGURATIONS  (12 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    

  Per-experiment parameters:
  Label             Solver                    weight_makespan  weight_delay  weight_movements  alpha  weight_topology  n_starts  seed
  -----------------------------------------------------------------------------------------------------------------------------------
  milp_baseline     MILPSolver                0.1              1             10                —      —                —         —   
  topology_ms6      TopologyHeuristic         0.1              1             10                0.3    1                6         1   
  fas_on_topo       FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  safe_pipeline     FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  milp_baseline_wB  MILPSolver                1                10            0.1               —      —                —         —   
  topology_ms6_wB   TopologyHeuristic         1                10            0.1               0.3    1                6         1   
  fas_on_topo_wB    FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  safe_pipeline_wB  FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  milp_baseline_wC  MILPSolver                10               0.1           1                 —      —                —         —   
  topology_ms6_wC   TopologyHeuristic         10               0.1           1                 0.3    1                6         1   
  fas_on_topo_wC    FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
  safe_pipeline_wC  FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  144 ok  /  0 failed  /  144 total
==================================================================
  Instance                          Experiment        Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  --------------------------------------------------------------------------------------------------------------------------
  scn_chain_tight_P5_R10_seed3      milp_baseline     maxTimeLim      230.35      98.50     220.50     0    98.22%      71.7
  scn_chain_tight_P5_R10_seed3      topology_ms6      topology (      169.60      86.00     141.00     2         -      60.0
  scn_chain_tight_P5_R10_seed3      fas_on_topo       optimal         169.60      86.00     141.00     2     0.00%       0.2
  scn_chain_tight_P5_R10_seed3      safe_pipeline     topology (      169.60      86.00     141.00     2         -       0.0
  scn_chain_tight_P5_R10_seed3      milp_baseline_wB  maxTimeLim     1115.10      68.50     104.50    16    96.32%      70.1
  scn_chain_tight_P5_R10_seed3      topology_ms6_wB   topology (     1038.90      62.50      97.50    14         -      60.0
  scn_chain_tight_P5_R10_seed3      fas_on_topo_wB    optimal        1038.90      62.50      97.50    14     0.00%       0.0
  scn_chain_tight_P5_R10_seed3      safe_pipeline_wB  topology (     1038.90      62.50      97.50    14         -       0.0
  scn_chain_tight_P5_R10_seed3      milp_baseline_wC  maxTimeLim      698.20      67.50     172.00     6    41.28%      69.1
  scn_chain_tight_P5_R10_seed3      topology_ms6_wC   topology (      645.35      62.50     103.50    10         -      60.0
  scn_chain_tight_P5_R10_seed3      fas_on_topo_wC    optimal         644.85      62.50     118.50     8     0.00%       0.0
  scn_chain_tight_P5_R10_seed3      safe_pipeline_wC  optimal         644.85      62.50     118.50     8         -       0.0
  scn_full_tight_P5_R10_seed3       milp_baseline     maxTimeLim      297.50     125.00     245.00     4    98.62%      66.5
  scn_full_tight_P5_R10_seed3       topology_ms6      topology (      218.50      85.00     210.00     0         -      60.0
  scn_full_tight_P5_R10_seed3       fas_on_topo       optimal         218.50      85.00     210.00     0     0.00%       0.5
  scn_full_tight_P5_R10_seed3       safe_pipeline     topology (      218.50      85.00     210.00     0         -       0.0
  scn_full_tight_P5_R10_seed3       milp_baseline_wB  maxTimeLim     1302.20      67.00     123.00    52    96.85%      67.3
  scn_full_tight_P5_R10_seed3       topology_ms6_wB   topology (     1042.10      62.50      97.50    46         -      60.0
  scn_full_tight_P5_R10_seed3       fas_on_topo_wB    optimal        1042.10      62.50      97.50    46     0.00%       3.7
  scn_full_tight_P5_R10_seed3       safe_pipeline_wB  topology (     1042.10      62.50      97.50    46         -       0.0
