==================================================================
  EXPERIMENT CONFIGURATIONS  (12 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    

  Per-experiment parameters:
  Label             Solver                    weight_makespan  weight_delay  weight_movements  alpha  weight_topology  n_starts  seed
  -----------------------------------------------------------------------------------------------------------------------------------
  milp_baseline     MILPSolver                0.1              1             10                —      —                —         —   
  topology_ms6      TopologyHeuristic         0.1              1             10                0.3    1                6         1   
  fas_on_topo       FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  safe_pipeline     FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  milp_baseline_wB  MILPSolver                1                10            0.1               —      —                —         —   
  topology_ms6_wB   TopologyHeuristic         1                10            0.1               0.3    1                6         1   
  fas_on_topo_wB    FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  safe_pipeline_wB  FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  milp_baseline_wC  MILPSolver                10               0.1           1                 —      —                —         —   
  topology_ms6_wC   TopologyHeuristic         10               0.1           1                 0.3    1                6         1   
  fas_on_topo_wC    FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
  safe_pipeline_wC  FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  144 ok  /  0 failed  /  144 total
==================================================================
  Instance                          Experiment        Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  --------------------------------------------------------------------------------------------------------------------------
  scn_chain_tight_P5_R10_seed4      milp_baseline     maxTimeLim      227.50     100.00     217.50     0    97.98%      70.9
  scn_chain_tight_P5_R10_seed4      topology_ms6      topology (      182.65      81.50     154.50     2         -      60.0
  scn_chain_tight_P5_R10_seed4      fas_on_topo       optimal         163.45      84.50     135.00     2     0.00%       0.1
  scn_chain_tight_P5_R10_seed4      safe_pipeline     optimal         163.45      84.50     135.00     2         -       0.0
  scn_chain_tight_P5_R10_seed4      milp_baseline_wB  maxTimeLim     1303.30      76.50     122.50    18    96.47%      68.5
  scn_chain_tight_P5_R10_seed4      topology_ms6_wB   topology (     1234.10      76.50     115.50    26         -      60.0
  scn_chain_tight_P5_R10_seed4      fas_on_topo_wB    optimal        1234.10      76.50     115.50    26     0.00%       0.1
  scn_chain_tight_P5_R10_seed4      safe_pipeline_wB  topology (     1234.10      76.50     115.50    26         -       0.0
  scn_chain_tight_P5_R10_seed4      milp_baseline_wC  maxTimeLim      706.65      67.50     156.50    16    34.90%      70.3
  scn_chain_tight_P5_R10_seed4      topology_ms6_wC   topology (      690.05      66.50     130.50    12         -      60.0
  scn_chain_tight_P5_R10_seed4      fas_on_topo_wC    optimal         690.05      66.50     130.50    12     0.00%       0.0
  scn_chain_tight_P5_R10_seed4      safe_pipeline_wC  topology (      690.05      66.50     130.50    12         -       0.0
  scn_full_tight_P5_R10_seed4       milp_baseline     maxTimeLim      247.90     109.00     237.00     0    98.14%      67.7
  scn_full_tight_P5_R10_seed4       topology_ms6      topology (      182.65      81.50     134.50     4         -      60.0
  scn_full_tight_P5_R10_seed4       fas_on_topo       optimal         162.65      81.50     134.50     2     0.00%       0.1
  scn_full_tight_P5_R10_seed4       safe_pipeline     optimal         162.65      81.50     134.50     2         -       0.0
  scn_full_tight_P5_R10_seed4       milp_baseline_wB  maxTimeLim     1702.90     103.50     159.50    44    97.30%      70.3
  scn_full_tight_P5_R10_seed4       topology_ms6_wB   topology (     1239.90      81.50     115.50    34         -      60.0
  scn_full_tight_P5_R10_seed4       fas_on_topo_wB    optimal        1239.90      81.50     115.50    34     0.00%       0.1
  scn_full_tight_P5_R10_seed4       safe_pipeline_wB  topology (     1239.90      81.50     115.50    34         -       0.0
