==================================================================
  EXPERIMENT CONFIGURATIONS  (12 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    

  Per-experiment parameters:
  Label             Solver                    weight_makespan  weight_delay  weight_movements  alpha  weight_topology  n_starts  seed
  -----------------------------------------------------------------------------------------------------------------------------------
  milp_baseline     MILPSolver                0.1              1             10                —      —                —         —   
  topology_ms6      TopologyHeuristic         0.1              1             10                0.3    1                6         1   
  fas_on_topo       FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  safe_pipeline     FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  milp_baseline_wB  MILPSolver                1                10            0.1               —      —                —         —   
  topology_ms6_wB   TopologyHeuristic         1                10            0.1               0.3    1                6         1   
  fas_on_topo_wB    FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  safe_pipeline_wB  FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  milp_baseline_wC  MILPSolver                10               0.1           1                 —      —                —         —   
  topology_ms6_wC   TopologyHeuristic         10               0.1           1                 0.3    1                6         1   
  fas_on_topo_wC    FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
  safe_pipeline_wC  FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  135 ok  /  2 failed  /  137 total
==================================================================
  Instance                          Experiment        Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  --------------------------------------------------------------------------------------------------------------------------
  scn_chain_tight_P5_R10_seed1      milp_baseline     maxTimeLim      165.05      65.50     158.50     0    97.76%      64.5
  scn_chain_tight_P5_R10_seed1      topology_ms6      topology (      156.35      83.50     148.00     0         -      60.0
  scn_chain_tight_P5_R10_seed1      fas_on_topo       optimal         156.35      83.50     148.00     0     0.00%       0.2
  scn_chain_tight_P5_R10_seed1      safe_pipeline     topology (      156.35      83.50     148.00     0         -       0.0
  scn_chain_tight_P5_R10_seed1      milp_baseline_wB  maxTimeLim     1228.20      76.00     115.00    22    96.99%      66.3
  scn_chain_tight_P5_R10_seed1      topology_ms6_wB   topology (      995.30      58.50      93.50    18         -      60.0
  scn_chain_tight_P5_R10_seed1      fas_on_topo_wB    optimal         995.30      58.50      93.50    18     0.00%       0.1
  scn_chain_tight_P5_R10_seed1      safe_pipeline_wB  topology (      995.30      58.50      93.50    18         -       0.0
  scn_chain_tight_P5_R10_seed1      milp_baseline_wC  maxTimeLim      628.15      61.50     111.50     2    41.10%      68.6
  scn_chain_tight_P5_R10_seed1      topology_ms6_wC   topology (      602.45      57.50      94.50    18         -      60.0
  scn_chain_tight_P5_R10_seed1      fas_on_topo_wC    optimal         598.65      57.50      96.50    14     0.00%       0.0
  scn_chain_tight_P5_R10_seed1      safe_pipeline_wC  optimal         598.65      57.50      96.50    14         -       0.0
  scn_full_tight_P5_R10_seed1       milp_baseline     maxTimeLim      201.30      93.00     192.00     0    98.16%      66.6
  scn_full_tight_P5_R10_seed1       topology_ms6      topology (      175.80      88.00     167.00     0         -      60.0
  scn_full_tight_P5_R10_seed1       fas_on_topo       optimal         173.35      88.50     164.50     0     0.00%       0.4
  scn_full_tight_P5_R10_seed1       safe_pipeline     optimal         173.35      88.50     164.50     0         -       0.0
  scn_full_tight_P5_R10_seed1       milp_baseline_wB  maxTimeLim     1412.60      87.00     132.00    56    97.38%      66.5
  scn_full_tight_P5_R10_seed1       topology_ms6_wB   topology (      998.30      58.50      93.50    48         -      60.0
  scn_full_tight_P5_R10_seed1       fas_on_topo_wB    optimal         998.30      58.50      93.50    48     0.00%       0.0
  scn_full_tight_P5_R10_seed1       safe_pipeline_wB  topology (      998.30      58.50      93.50    48         -       0.0
