==================================================================
  EXPERIMENT CONFIGURATIONS  (12 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    

  Per-experiment parameters:
  Label             Solver                    weight_makespan  weight_delay  weight_movements  alpha  weight_topology  n_starts  seed
  -----------------------------------------------------------------------------------------------------------------------------------
  milp_baseline     MILPSolver                0.1              1             10                —      —                —         —   
  topology_ms6      TopologyHeuristic         0.1              1             10                0.3    1                6         1   
  fas_on_topo       FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  safe_pipeline     FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  milp_baseline_wB  MILPSolver                1                10            0.1               —      —                —         —   
  topology_ms6_wB   TopologyHeuristic         1                10            0.1               0.3    1                6         1   
  fas_on_topo_wB    FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  safe_pipeline_wB  FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  milp_baseline_wC  MILPSolver                10               0.1           1                 —      —                —         —   
  topology_ms6_wC   TopologyHeuristic         10               0.1           1                 0.3    1                6         1   
  fas_on_topo_wC    FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
  safe_pipeline_wC  FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  138 ok  /  6 failed  /  144 total
==================================================================
  Instance                          Experiment        Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  --------------------------------------------------------------------------------------------------------------------------
  scn_chain_tight_P5_R10_seed7      milp_baseline     maxTimeLim      171.10      86.00     162.50     0    97.43%      65.1
  scn_chain_tight_P5_R10_seed7      topology_ms6      topology (      149.75      92.50     140.50     0         -      60.0
  scn_chain_tight_P5_R10_seed7      fas_on_topo       optimal         149.75      92.50     140.50     0     0.00%       0.0
  scn_chain_tight_P5_R10_seed7      safe_pipeline     topology (      149.75      92.50     140.50     0         -       0.0
  scn_chain_tight_P5_R10_seed7      milp_baseline_wB  maxTimeLim      924.70      67.50      85.50    22    95.24%      65.5
  scn_chain_tight_P5_R10_seed7      topology_ms6_wB   topology (      923.90      67.50      85.50    14         -      60.0
  scn_chain_tight_P5_R10_seed7      fas_on_topo_wB    optimal         923.90      67.50      85.50    14     0.00%       0.0
  scn_chain_tight_P5_R10_seed7      safe_pipeline_wB  topology (      923.90      67.50      85.50    14         -       0.0
  scn_chain_tight_P5_R10_seed7      milp_baseline_wC  maxTimeLim      628.25      60.50     112.50    12    29.96%      66.9
  scn_chain_tight_P5_R10_seed7      topology_ms6_wC   topology (      631.75      60.50     107.50    16         -      60.0
  scn_chain_tight_P5_R10_seed7      fas_on_topo_wC    optimal         628.55      60.50     115.50    12     0.00%       0.0
  scn_chain_tight_P5_R10_seed7      safe_pipeline_wC  optimal         628.55      60.50     115.50    12         -       0.0
  scn_full_tight_P5_R10_seed7       milp_baseline     maxTimeLim      288.45     104.50     238.00     4    98.47%      65.3
  scn_full_tight_P5_R10_seed7       topology_ms6      topology (      214.05      95.50     204.50     0         -      60.0
  scn_full_tight_P5_R10_seed7       fas_on_topo       optimal         214.05      95.50     204.50     0     0.00%       0.3
  scn_full_tight_P5_R10_seed7       safe_pipeline     topology (      214.05      95.50     204.50     0         -       0.0
  scn_full_tight_P5_R10_seed7       milp_baseline_wB  maxTimeLim     1396.30      81.50     131.00    48    96.85%      65.4
  scn_full_tight_P5_R10_seed7       topology_ms6_wB   topology (      926.30      67.50      85.50    38         -      60.0
  scn_full_tight_P5_R10_seed7       fas_on_topo_wB    optimal         926.30      67.50      85.50    38     0.00%       0.0
  scn_full_tight_P5_R10_seed7       safe_pipeline_wB  topology (      926.30      67.50      85.50    38         -       0.0
