==================================================================
  EXPERIMENT CONFIGURATIONS  (12 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    

  Per-experiment parameters:
  Label             Solver                    weight_makespan  weight_delay  weight_movements  alpha  weight_topology  n_starts  seed
  -----------------------------------------------------------------------------------------------------------------------------------
  milp_baseline     MILPSolver                0.1              1             10                —      —                —         —   
  topology_ms6      TopologyHeuristic         0.1              1             10                0.3    1                6         1   
  fas_on_topo       FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  safe_pipeline     FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  milp_baseline_wB  MILPSolver                1                10            0.1               —      —                —         —   
  topology_ms6_wB   TopologyHeuristic         1                10            0.1               0.3    1                6         1   
  fas_on_topo_wB    FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  safe_pipeline_wB  FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  milp_baseline_wC  MILPSolver                10               0.1           1                 —      —                —         —   
  topology_ms6_wC   TopologyHeuristic         10               0.1           1                 0.3    1                6         1   
  fas_on_topo_wC    FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
  safe_pipeline_wC  FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  135 ok  /  9 failed  /  144 total
  scn_hub_tight_P5_R10_seed2        fas_on_topo_wC    optimal         698.85      67.50     118.50    12     0.00%       0.1
  scn_hub_tight_P5_R10_seed2        safe_pipeline_wC  optimal         698.85      67.50     118.50    12         -       0.0
  scn_none_tight_P5_R10_seed2       milp_baseline     maxTimeLim      116.55      70.50     109.50     0    95.97%      67.0
  scn_none_tight_P5_R10_seed2       topology_ms6      topology (      115.25      67.50     108.50     0         -      60.0
  scn_none_tight_P5_R10_seed2       fas_on_topo       optimal         115.25      67.50     108.50     0     0.00%       0.0
  scn_none_tight_P5_R10_seed2       safe_pipeline     topology (      115.25      67.50     108.50     0         -       0.0
  scn_none_tight_P5_R10_seed2       milp_baseline_wB  maxTimeLim     1169.50      74.50     109.50     0    95.98%      70.6
  scn_none_tight_P5_R10_seed2       topology_ms6_wB   topology (     1152.50      67.50     108.50     0         -      60.0
  scn_none_tight_P5_R10_seed2       fas_on_topo_wB    optimal        1152.50      67.50     108.50     0     0.00%       0.0
  scn_none_tight_P5_R10_seed2       safe_pipeline_wB  topology (     1152.50      67.50     108.50     0         -       0.0
  scn_none_tight_P5_R10_seed2       milp_baseline_wC  maxTimeLim      685.85      67.50     108.50     0    31.47%      67.7
  scn_none_tight_P5_R10_seed2       topology_ms6_wC   topology (      685.85      67.50     108.50     0         -      60.0
  scn_none_tight_P5_R10_seed2       fas_on_topo_wC    optimal         685.85      67.50     108.50     0     0.00%       0.0
  scn_none_tight_P5_R10_seed2       safe_pipeline_wC  topology (      685.85      67.50     108.50     0         -       0.0
  scn_triangle_loose_P5_R10_seed2   milp_baseline     maxTimeLim       11.15      71.50       4.00     0    57.85%      67.4
  scn_triangle_loose_P5_R10_seed2   topology_ms6      topology (       11.15      71.50       4.00     0         -      60.0
  scn_triangle_loose_P5_R10_seed2   fas_on_topo       optimal          11.15      71.50       4.00     0     0.00%       0.0
  scn_triangle_loose_P5_R10_seed2   safe_pipeline     topology (       11.15      71.50       4.00     0         -       0.0
  scn_triangle_loose_P5_R10_seed2   milp_baseline_wB  maxTimeLim       76.70      70.50       0.50    12    38.72%      70.7
  scn_triangle_loose_P5_R10_seed2   topology_ms6_wB   topology (       71.70      70.50       0.00    12         -      60.0
  scn_triangle_loose_P5_R10_seed2   fas_on_topo_wB    optimal          71.30      70.50       0.00     8     0.00%       0.0
  scn_triangle_loose_P5_R10_seed2   safe_pipeline_wB  optimal          71.30      70.50       0.00     8         -       0.0
  scn_triangle_loose_P5_R10_seed2   milp_baseline_wC  maxTimeLim      686.30      68.50      13.00     0    31.52%      66.7
  scn_triangle_loose_P5_R10_seed2   topology_ms6_wC   topology (      687.45      67.50       4.50    12         -      60.0
  scn_triangle_loose_P5_R10_seed2   fas_on_topo_wC    optimal         683.45      67.50       4.50     8     0.00%       0.0
  scn_triangle_loose_P5_R10_seed2   safe_pipeline_wC  optimal         683.45      67.50       4.50     8         -       0.0
  scn_triangle_medium_P5_R10_seed2  milp_baseline     maxTimeLim      123.60     101.00     113.50     0    96.20%      69.7
  scn_triangle_medium_P5_R10_seed2  topology_ms6      topology (       79.65      71.50      72.50     0         -      60.0
  scn_triangle_medium_P5_R10_seed2  fas_on_topo       optimal          79.65      71.50      72.50     0     0.00%       0.0
  scn_triangle_medium_P5_R10_seed2  safe_pipeline     topology (       79.65      71.50      72.50     0         -       0.0
  scn_triangle_medium_P5_R10_seed2  milp_baseline_wB  maxTimeLim      658.10      71.50      58.50    16    92.86%      67.5
  scn_triangle_medium_P5_R10_seed2  topology_ms6_wB   topology (      633.70      67.50      56.50    12         -      60.0
  scn_triangle_medium_P5_R10_seed2  fas_on_topo_wB    optimal         633.70      67.50      56.50    12     0.00%       0.0
  scn_triangle_medium_P5_R10_seed2  safe_pipeline_wB  topology (      633.70      67.50      56.50    12         -       0.0
  scn_triangle_medium_P5_R10_seed2  milp_baseline_wC  maxTimeLim      723.45      71.50      64.50     2    35.03%      67.3
  scn_triangle_medium_P5_R10_seed2  topology_ms6_wC   topology (      692.65      67.50      56.50    12         -      60.0
  scn_triangle_medium_P5_R10_seed2  fas_on_topo_wC    optimal         689.25      67.50      62.50     8     0.00%       0.0
  scn_triangle_medium_P5_R10_seed2  safe_pipeline_wC  optimal         689.25      67.50      62.50     8         -       0.0
  scn_triangle_tight_P5_R10_seed2   milp_baseline     maxTimeLim      183.30     103.00     173.00     0    97.44%      71.2
  scn_triangle_tight_P5_R10_seed2   topology_ms6      topology (      130.95      74.50     123.50     0         -      60.0
  scn_triangle_tight_P5_R10_seed2   fas_on_topo       optimal         130.95      74.50     123.50     0     0.00%       0.0
  scn_triangle_tight_P5_R10_seed2   safe_pipeline     topology (      130.95      74.50     123.50     0         -       0.0
  scn_triangle_tight_P5_R10_seed2   milp_baseline_wB  maxTimeLim     1181.70      74.50     110.50    22    96.02%      67.0
  scn_triangle_tight_P5_R10_seed2   topology_ms6_wB   topology (     1153.70      67.50     108.50    12         -      60.0
  scn_triangle_tight_P5_R10_seed2   fas_on_topo_wB    optimal        1153.70      67.50     108.50    12     0.00%       0.0
  scn_triangle_tight_P5_R10_seed2   safe_pipeline_wB  topology (     1153.70      67.50     108.50    12         -       0.0
  scn_triangle_tight_P5_R10_seed2   milp_baseline_wC  maxTimeLim      998.95      97.00     269.50     2    52.95%      73.7
  scn_triangle_tight_P5_R10_seed2   topology_ms6_wC   topology (      697.85      67.50     108.50    12         -      60.0
  scn_triangle_tight_P5_R10_seed2   fas_on_topo_wC    optimal         694.45      67.50     114.50     8     0.00%       0.1
  scn_triangle_tight_P5_R10_seed2   safe_pipeline_wC  optimal         694.45      67.50     114.50     8         -       0.0
  scn_triangle_tight_P5_R20_seed2   topology_ms6      topology (      670.20     137.00     656.50     0         -      68.4
  scn_triangle_tight_P5_R20_seed2   fas_on_topo       optimal         669.20     137.00     655.50     0     0.00%      10.8
  scn_triangle_tight_P5_R20_seed2   safe_pipeline     optimal         669.20     137.00     655.50     0         -       0.0
  scn_triangle_tight_P5_R20_seed2   topology_ms6_wB   topology (     6350.30     137.50     621.00    28         -      71.8
  scn_triangle_tight_P5_R20_seed2   fas_on_topo_wB    optimal        6350.30     137.50     621.00    28     0.00%      19.0
  scn_triangle_tight_P5_R20_seed2   safe_pipeline_wB  topology (     6350.30     137.50     621.00    28         -       0.0
  scn_triangle_tight_P5_R20_seed2   topology_ms6_wC   topology (     1287.60     118.50     646.00    38         -      60.0
  scn_triangle_tight_P5_R20_seed2   fas_on_topo_wC    maxTimeLim     1287.60     118.50     646.00    38     2.78%      78.9
  scn_triangle_tight_P5_R20_seed2   safe_pipeline_wC  topology (     1287.60     118.50     646.00    38         -       0.0
  scn_triangle_tight_P5_R30_seed2   topology_ms6      topology (     1988.20     227.00    1965.50     0         -      60.0
