==================================================================
  EXPERIMENT CONFIGURATIONS  (12 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    

  Per-experiment parameters:
  Label             Solver                    weight_makespan  weight_delay  weight_movements  alpha  weight_topology  n_starts  seed
  -----------------------------------------------------------------------------------------------------------------------------------
  milp_baseline     MILPSolver                0.1              1             10                —      —                —         —   
  topology_ms6      TopologyHeuristic         0.1              1             10                0.3    1                6         1   
  fas_on_topo       FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  safe_pipeline     FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  milp_baseline_wB  MILPSolver                1                10            0.1               —      —                —         —   
  topology_ms6_wB   TopologyHeuristic         1                10            0.1               0.3    1                6         1   
  fas_on_topo_wB    FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  safe_pipeline_wB  FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  milp_baseline_wC  MILPSolver                10               0.1           1                 —      —                —         —   
  topology_ms6_wC   TopologyHeuristic         10               0.1           1                 0.3    1                6         1   
  fas_on_topo_wC    FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
  safe_pipeline_wC  FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  141 ok  /  3 failed  /  144 total
==================================================================
  Instance                          Experiment        Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  --------------------------------------------------------------------------------------------------------------------------
  scn_chain_tight_P5_R10_seed9      milp_baseline     maxTimeLim      200.15      76.50     152.50     4    97.65%      65.3
  scn_chain_tight_P5_R10_seed9      topology_ms6      topology (      177.55      95.50     168.00     0         -      60.0
  scn_chain_tight_P5_R10_seed9      fas_on_topo       optimal         177.55      95.50     168.00     0     0.00%       0.1
  scn_chain_tight_P5_R10_seed9      safe_pipeline     topology (      177.55      95.50     168.00     0         -       0.0
  scn_chain_tight_P5_R10_seed9      milp_baseline_wB  maxTimeLim     1174.40      82.00     109.00    24    96.00%      65.2
  scn_chain_tight_P5_R10_seed9      topology_ms6_wB   topology (      995.10      68.50      92.50    16         -      60.0
  scn_chain_tight_P5_R10_seed9      fas_on_topo_wB    optimal         995.10      68.50      92.50    16     0.00%       0.0
  scn_chain_tight_P5_R10_seed9      safe_pipeline_wB  topology (      995.10      68.50      92.50    16         -       0.0
  scn_chain_tight_P5_R10_seed9      milp_baseline_wC  maxTimeLim      703.35      68.50     123.50     6    33.18%      66.8
  scn_chain_tight_P5_R10_seed9      topology_ms6_wC   topology (      710.25      68.50      92.50    16         -      60.0
  scn_chain_tight_P5_R10_seed9      fas_on_topo_wC    optimal         702.35      68.50     113.50     6     0.00%       0.0
  scn_chain_tight_P5_R10_seed9      safe_pipeline_wC  optimal         702.35      68.50     113.50     6         -       0.0
  scn_full_tight_P5_R10_seed9       milp_baseline     maxTimeLim      296.80     108.00     266.00     2    98.42%      65.4
  scn_full_tight_P5_R10_seed9       topology_ms6      topology (      239.20      97.00     229.50     0         -      60.0
  scn_full_tight_P5_R10_seed9       fas_on_topo       optimal         239.20      97.00     229.50     0     0.00%       0.2
  scn_full_tight_P5_R10_seed9       safe_pipeline     topology (      239.20      97.00     229.50     0         -       0.0
  scn_full_tight_P5_R10_seed9       milp_baseline_wB  maxTimeLim     1588.00      89.00     149.50    40    97.04%      65.4
  scn_full_tight_P5_R10_seed9       topology_ms6_wB   topology (      998.10      68.50      92.50    46         -      60.0
  scn_full_tight_P5_R10_seed9       fas_on_topo_wB    optimal         998.10      68.50      92.50    46     0.00%       0.0
  scn_full_tight_P5_R10_seed9       safe_pipeline_wB  topology (      998.10      68.50      92.50    46         -       0.0
